Stars,Year of Release,Price,Screen Size,System Memory (RAM),Brand_Group_Apple,Brand_Group_Gaming,Brand_Group_Mainstream,Operating System_chrome,Operating System_mac,Operating System_windows,Backlit Keyboard_No,Backlit Keyboard_Yes
4.2,2022.0,149.99,14.0,4.0,0,0,1,0,0,1,1,0
4.6,2023.0,749.99,14.0,16.0,0,0,1,0,0,1,0,1
4.7,2022.0,429.99,15.6,8.0,0,0,1,0,0,1,1,0
4.5,2021.0,649.99,15.6,16.0,0,0,1,0,0,1,1,0
4.4,2022.0,149.0,14.0,4.0,0,0,1,1,0,0,1,0
4.8,2023.0,749.99,16.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,399.99,17.3,8.0,0,0,1,0,0,1,1,0
4.5,2022.0,379.99,14.0,8.0,0,0,1,0,0,1,1,0
4.8,2020.0,749.99,13.3,8.0,1,0,0,0,1,0,0,1
4.7,2023.0,479.99,15.6,8.0,0,0,1,0,0,1,0,1
3.3,2023.0,329.99,15.6,8.0,0,0,1,0,0,1,1,0
4.8,2023.0,549.99,16.0,8.0,0,0,1,0,0,1,0,1
4.6,2023.0,629.99,15.6,8.0,0,0,1,0,0,1,0,1
3.8,2022.0,229.99,15.6,4.0,0,0,1,0,0,1,1,0
4.9,2023.0,1799.0,14.2,16.0,1,0,0,0,1,0,0,1
4.5,2022.0,249.0,14.0,4.0,0,0,1,1,0,0,1,0
4.3,2022.0,1100.99,16.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,749.99,15.6,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,249.0,14.0,4.0,0,0,1,1,0,0,1,0
4.8,2023.0,2899.0,14.2,32.0,1,0,0,0,1,0,0,1
4.8,2023.0,1299.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2023.0,279.0,12.2,4.0,0,0,1,1,0,0,1,0
4.7,2023.0,479.99,15.6,8.0,0,0,1,0,0,1,0,1
4.9,2023.0,1799.0,14.2,16.0,1,0,0,0,1,0,0,1
4.6,2023.0,899.99,14.5,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,1359.99,16.0,32.0,0,0,1,0,0,1,0,1
4.7,2022.0,429.99,15.6,8.0,0,0,1,0,0,1,1,0
4.9,2023.0,1349.99,17.3,16.0,0,0,1,0,0,1,0,1
4.1,2023.0,1299.99,14.0,16.0,0,1,0,0,0,1,0,1
4.8,2021.0,1399.99,14.4,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,189.0,14.0,4.0,0,0,1,1,0,0,1,0
4.2,2022.0,189.99,11.6,4.0,0,0,1,0,0,1,1,0
4.4,2022.0,1299.99,17.3,16.0,0,1,0,0,0,1,0,1
4.5,2022.0,1049.99,13.4,32.0,0,0,1,0,0,1,0,1
4.3,2023.0,799.99,15.6,8.0,0,1,0,0,0,1,0,1
4.7,2022.0,429.99,15.6,8.0,0,0,1,0,0,1,1,0
4.5,2022.0,479.99,15.6,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,699.99,16.0,8.0,0,0,1,0,0,1,0,1
4.8,2023.0,999.99,15.6,32.0,0,1,0,0,0,1,0,1
4.6,2022.0,499.99,15.6,8.0,0,0,1,0,0,1,1,0
