Price,Stars,Number of Reviews,Product Name,Brand,Year of Release,Color Category,Display Type,Screen Size,Screen Resolution,Touch Screen,Operating System,Voice Assistant Built-in,Storage Type,Total Storage Capacity,System Memory (RAM),Type of Memory (RAM),Battery Type,Battery Life (up to),Graphics Type,GPU Brand,Graphics,Processor Brand,Processor Model,Number of CPU Cores,CPU Base Clock Frequency,Product Weight,Backlit Keyboard,Front Facing Camera Video Resolution,Number of HDMI Outputs (Total)
$149.99,4.2,1926,"14"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",HP,2022,Silver,LCD,14 inches,1366 x 768 (HD),No,Windows 11 Home in S Mode,No,eMMC,64 gigabytes,4 gigabytes,DDR4,Lithium-ion,11.5 hours,Integrated,Intel,Intel UHD Graphics 600,Intel,Intel Celeron,4-core (quad-core),1.1 gigahertz,3.24 pounds,No,,1
$749.99,4.6,384,"ENVY 2-in-1 14"" Full HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 1TB SSD",HP,2023,Silver,,14 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,,SSD,1024 gigabytes,16 gigabytes,DDR4,Lithium-ion polymer,,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 13th Generation Core i7,10-core,5 gigahertz,3.35 pounds,Yes,,1
$429.99,4.7,693,"Ideapad 3i 15.6"" FHD Touch Laptop - Core i5-1135G7 with 8GB Memory - 512GB SSD",Lenovo,2022,Gray,LCD,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home in S Mode,,SSD,512 gigabytes,8 gigabytes,DDR4,Lithium-ion polymer,12 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 11th Generation Core i5,4-core (quad-core),4.2 gigahertz,3.74 pounds,No,720p,1
$649.99,4.5,1810,"15.6"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD",HP,2021,Silver,LED,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home in S Mode,No,SSD,512 gigabytes,16 gigabytes,DDR4,Lithium-ion,7.25 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 11th Generation Core i7,4-core (quad-core),4.7 gigahertz,3.75 pounds,No,720p,1
$149.00,4.4,266,"14"" Chromebook - Intel Celeron - 4GB Memory - 64GB eMMC",HP,2022,Silver,,14 inches,1366 x 768 (HD),No,Chrome OS,Google Assistant,eMMC,64 gigabytes,4 gigabytes,LPDDR4,Lithium-ion,,Integrated,Intel,Intel UHD Graphics 600,Intel,Intel Celeron,4-core (quad-core),2.6 gigahertz,3.35 pounds,No,720p,1
$749.99,4.8,223,"Yoga 7i 16"" WUXGA 2 in 1 Touch-Screen Laptop - Intel Core i7-1355U - 16GB Memory - 512GB SSD",Lenovo,2023,Gray,LCD,16 inches,1920 x 1200 (WUXGA),Yes,Windows 11 Home,,SSD,512 gigabytes,16 gigabytes,LPDDR5,Lithium-polymer,12.5 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 13th Generation Core i7,10-core,5 gigahertz,4.49 pounds,Yes,,1
$399.99,4.7,559,"17.3"" HD+ Laptop - Intel Core i3 - 8GB Memory - 256GB SSD",HP,2023,Silver,,17.3 inches,1600 x 900 (HD+),No,Windows 11 Home in S Mode,,SSD,256 gigabytes,8 gigabytes,DDR4,Lithium-ion,9.5 hours,Integrated,Intel,Intel UHD Graphics,Intel,Intel 11th Generation Core i3,4-core (quad-core),3.7 gigahertz,4.6 pounds,No,720p,1
$379.99,4.5,409,"Pavilion - 2-in-1 14"" FHD Laptop - Intel Core i3 - 8GB Memory - 256GB SSD",HP,2022,Black,LED,14 inches,1920 x 1280,Yes,Windows 11 Home in S Mode,Amazon Alexa,SSD,256 gigabytes,8 gigabytes,DDR4,Lithium-ion,9 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i3,6-core,4.4 gigahertz,3.35 pounds,No,,1
$749.99,4.8,16715,"MacBook Air 13.3"" Laptop - Apple M1 chip - 8GB Memory - 256GB SSD",Apple,2020,Space Gray,LED,13.3 inches,2560 x 1600 (Retina),No,macOS Big Sur 11.0,Siri,SSD,256 gigabytes,8 gigabytes,LPDDR4X,Lithium-polymer,18 hours,Integrated,Apple,Apple M1 7-core,Apple,Apple M1,8-core,,2.8 pounds,Yes,720p,
$479.99,4.7,255,"ENVY 2-in-1 15.6"" Full HD Touch-Screen Laptop - AMD Ryzen 5 7530U - 8GB Memory - 256GB SSD",HP,2023,Black,,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,,SSD,256 gigabytes,8 gigabytes,LPDDR4X,Lithium-ion polymer,,Integrated,AMD Radeon,AMD Radeon,AMD,AMD Ryzen 5 7000 Series,6-core,4.5 gigahertz,4.43 pounds,Yes,,1
